widths,320 comparisons,640 comparisons,1280 comparisons,2560 comparisons,5120 comparisons,10240 comparisons
0.0009765625,0.16228373225884674,0.21239530157176353,0.2934932098302816,0.4187678515419568,0.5367777885510564,0.6486204849205018
0.001953125,0.14342174521007592,0.2211895602151158,0.2932153643105015,0.4192639261083539,0.5369835963339852,0.6488508442776736
0.00390625,0.17481151898373454,0.21795022159663194,0.2966588573474568,0.4220203441478901,0.5378393928712751,0.6496185115697312
0.0078125,0.17763525615011486,0.23770748056149454,0.3050163191896423,0.42424962589400506,0.5354428826165508,0.644892120075047
0.015625,0.1920779402816092,0.23948004516418175,0.2869078972640393,0.3841475736567373,0.4795716072545341,0.5670653533458413
0.03125,0.10384146341463417,0.10915259537210759,0.11289243277048157,0.1342933083176986,0.15555347091932462,0.1599468417761101
0.0625,0.028994684177611012,0.026400875547217015,0.025778611632270174,0.026605691056910574,0.026912132582864293,0.02680112570356473
0.125,0.04072545340838024,0.03941369606003753,0.03892589118198875,0.03944340212632896,0.03940431519699813,0.03978424015009381
0.25,0.026335209505941218,0.02615853658536586,0.025967792370231398,0.02651813633520951,0.026313320825515952,0.026649468417761103
0.5,-0.0018042526579111948,-0.0018714821763602255,-0.0019324577861163231,-0.00142432770481551,-0.00183552220137586,-0.0014587242026266418
1.0,0.003180112570356473,0.003125390869293309,0.003137898686679175,0.0032567229518449033,0.003137898686679175,0.0032410881801125707
2.0,-0.00577861163227017,-0.005772357723577237,-0.005798936835522202,-0.005752032520325205,-0.005786429018136336,-0.005761413383364604
4.0,-0.00823483427141964,-0.008227016885553473,-0.008236397748592871,-0.008223889931207005,-0.008227016885553473,-0.008228580362726706
