widths,200 comparisons,400 comparisons,800 comparisons,1600 comparisons,3200 comparisons,6400 comparisons
0.0009765625,0.13202455265191979,0.20114334448793308,0.32470070070070073,0.42705105105105107,0.5348508508508508,0.63204004004004
0.001953125,0.16092092092092092,0.22531731731731733,0.3706306306306307,0.4728088088088088,0.5733573573573574,0.6627547547547548
0.00390625,0.19247647647647648,0.2689009009009009,0.4282282282282282,0.5210130130130131,0.6144984984984985,0.6852292292292292
0.0078125,0.2626626626626627,0.3445005005005005,0.5006646646646646,0.5772972972972974,0.6521881881881882,0.7155595595595595
0.015625,0.3251771771771772,0.42854854854854857,0.5743943943943943,0.6095255255255255,0.6906386386386386,0.7525845845845847
0.03125,0.39686886886886885,0.5062222222222222,0.6542622622622623,0.6669349349349349,0.7348708708708709,0.8091451451451451
0.0625,0.4478558558558559,0.5838038038038038,0.6951951951951952,0.7148068068068069,0.7741261261261261,0.8315195195195196
0.125,0.4044204204204204,0.5711111111111111,0.6830230230230231,0.7271831831831832,0.7937537537537538,0.8343743743743745
0.25,0.2375095095095095,0.38605005005005005,0.51997997997998,0.6006806806806807,0.6991671671671672,0.7561281281281281
0.5,-0.10673073073073074,-0.02595795795795796,0.10258258258258257,0.16564564564564566,0.27556756756756756,0.40144944944944944
1.0,-0.2128648648648649,-0.19029029029029032,-0.14183783783783785,-0.12047247247247249,-0.059875875875875874,0.026794794794794793
2.0,-0.13894294294294293,-0.1315195195195195,-0.10310710710710712,-0.08476876876876877,-0.036548548548548554,0.021177177177177178
4.0,-0.10134934934934935,-0.09668068068068068,-0.029545545545545546,0.021353353353353356,0.126986986986987,0.25573173173173175
