num_comps,regRC,regRC_std_err,diffRC,diffRC_std_err,BTL-MLE,BTL-MLE_std_err,RankSVM,RankSVM_std_err,RF-RankSVM,RF-RankSVM_std_err
0.01,0.016183282706241604,0.06022624910747022,0.13689336702287563,0.004983901029054266,0.007905137506749314,0.0070291699885664935,0.016709729398409572,0.018867423280274194,0.03850737324963719,0.014369728161312984
0.059000000000000004,-0.050983725718238546,0.029166683401002008,0.13798067829489763,0.006700513429499007,0.010755556252558229,0.010040674193897495,0.006438588316679284,0.019984016318854055,0.004162383058640149,0.014936752280205445
0.108,0.022019083541290556,0.01551491869893258,0.13955458330803217,0.007609972724496017,0.017851702341610126,0.007833965069085484,0.025324194366713033,0.016013289321699167,0.025580032313071144,0.015861774222158582
0.15700000000000003,0.01876751024915254,0.00612215241474841,0.12841685388839275,0.004774070899106642,0.009416601089350742,0.0046585825578452115,0.016457653774792014,0.008262029190399749,-0.0015350276781487034,0.011673582394037752
0.20600000000000002,0.01664205149980553,0.0065533701460714616,0.12301792075568838,0.006508737729824944,0.01422071714003732,0.006704229671290375,0.013721191034824309,0.008520170339217217,0.013757560154649729,0.009294166908699927
0.255,0.021519231968426138,0.00946943963907473,0.12123332566908249,0.006113429203924114,0.020159163617005156,0.008272427865479444,0.02015225470602247,0.010166000802373622,0.016690917784706768,0.012008887262941824
0.30400000000000005,0.034826567501788794,0.006897190935008773,0.13261936838959887,0.005250854356866681,0.03503851168284036,0.006170082983946224,0.041961185525471775,0.006418863061382031,0.04302090643072966,0.010278190391697913
0.35300000000000004,0.05705186203786013,0.006945570334032668,0.13829545929752457,0.005706121436881379,0.05850035629297593,0.007002919496115357,0.06278438778689423,0.008614308276460871,0.05008905675266273,0.010551424567491757
0.402,0.0835072614419017,0.008959708327074671,0.14907953037955124,0.004882365727557347,0.08425094723695249,0.009434958304549062,0.0842020370413252,0.010238491038273291,0.07512731459109319,0.010144258132556584
0.451,0.11506687869730374,0.0028938707824293563,0.15987488842979963,0.002857537703298301,0.11563749764628876,0.003234422602021353,0.12512607559798244,0.0041049384773985485,0.11605762368565134,0.007479994461416694
0.5,0.15617777928340884,0.00649367441622628,0.17096370765381178,0.004060396467449351,0.15597085153267803,0.0061355412020455405,0.16545817537679153,0.0066450379261317,0.14754701091656292,0.009698906165244815
