num_comps,regRC,regRC_std_err,diffRC,diffRC_std_err,BTL-MLE,BTL-MLE_std_err,RankSVM,RankSVM_std_err,RF-RankSVM,RF-RankSVM_std_err,SNN,SNN_std_err,bayes
0.01,0.49978608381522294,0.0008187322157173844,0.4973084137867567,8.643536967956338e-05,0.4999130165788067,6.451084992876564e-05,0.49968498412537554,0.0003448063055349222,0.499328311440766,0.0002586076327791071,0.4996276931138812,0.0004716010284605575,0.49013811006261915
0.059000000000000004,0.5007560917797546,0.0003950862365909749,0.49735105748741004,0.00011090511255402577,0.4998925464784521,0.00010403120384964163,0.4999076067192097,0.0003797504732586802,0.49994123049524253,0.0002836317995985931,0.5001562080362205,0.0004888201541626933,0.49013811006261915
0.108,0.49967294054106065,0.00023264666524960126,0.4973310318564931,0.00011469949835237138,0.49976332597782713,0.00010772615864882316,0.4995115991129141,0.0002868100961960002,0.4995321652738666,0.0002762421211640491,0.4989125362227611,0.0004970180348736675,0.49013811006261915
0.15700000000000003,0.4997144119659255,0.00010926515671866693,0.49752390719177014,7.819413075013613e-05,0.4998375803891637,7.5456006724073e-05,0.49976273924381776,0.00016813037797292567,0.5000223514701674,0.00020895268247134505,0.4996383776580641,0.00032312882171716274,0.49013811006261915
0.20600000000000002,0.4997070214818744,0.0001035289409524169,0.4976052450603671,0.00010625960656749754,0.4997431706571443,0.00011434534114461404,0.49978131567071626,0.00015744247110190202,0.4998152022878222,0.00016074662006342784,0.49971654348547145,0.00026581943169006584,0.49013811006261915
0.255,0.49960032268108556,0.00016619699821566894,0.4976086345509462,0.00010395445445648511,0.49964696302684797,0.0001454728122454052,0.4996157720411046,0.00019254738845842761,0.4996906383056544,0.00022199391558088677,0.49954927973575713,0.00022290018160023683,0.49013811006261915
0.30400000000000005,0.4993659604924382,9.762726071025088e-05,0.4974319854741653,7.347724165773216e-05,0.49937211870136855,8.828970143219754e-05,0.4992348978273397,0.00011167203390919904,0.4992787782521284,0.00017701151520016354,0.4991351692500318,0.0002226593980848285,0.49013811006261915
0.35300000000000004,0.4991260296682244,0.00012139735296697806,0.49739758834021763,8.647492815820775e-05,0.4990926100257063,0.00011868574207790823,0.498978295130952,0.00014642811812154953,0.4990909986866533,0.0001830290909400924,0.49877404536902664,0.00021395294158344633,0.49013811006261915
0.402,0.4986336713203759,0.00013955816585029747,0.49719422184578016,7.470145377036602e-05,0.49861516057088257,0.000142422305113423,0.49858496244366357,0.00016411045108180922,0.49866295045944886,0.00018679951789353128,0.4983693439780247,0.00024905387317168394,0.49013811006261915
0.451,0.4980326765995172,5.8297703959701066e-05,0.4970127154150889,4.077576895969906e-05,0.4980289988484704,5.8847036464082466e-05,0.49784180725884325,7.75460058699474e-05,0.4979100617632367,0.00012030157168933789,0.49756222096292985,0.00016276841754060508,0.49013811006261915
0.5,0.49731729520695067,0.00011213802843996442,0.4968096733565136,6.302994563213309e-05,0.49732319387991486,0.00010784312349323112,0.49713454012980207,0.00011710702675177414,0.4972899213913234,0.00014403935812749548,0.49640238867691283,0.00014790365024567692,0.49013811006261915
