width,80 comparisons,80 comparisons_std_err,160 comparisons,160 comparisons_std_err,320 comparisons,320 comparisons_std_err,640 comparisons,640 comparisons_std_err,1280 comparisons,1280 comparisons_std_err,2560 comparisons,2560 comparisons_std_err
0.01,0.044717167224384444,0.04501269492244082,0.000207693712935976,0.027836438125577765,0.03199334413343842,0.007330998112222028,0.019200434891499665,0.010904252810588771,0.03338434378457391,0.012698216219245074,0.03298052114375375,0.008899877943843821
0.059000000000000004,-0.024468247313213728,0.011292837858543597,0.004197591039395807,0.008605801013065637,0.03596540266892416,0.007154503019304671,0.02439740886495495,0.011267344751696213,0.03561916349246688,0.013644721571499046,0.04128522153975106,0.009248881431277356
0.108,0.002992279422873395,0.008772210843792021,0.013070309200707338,0.008695862554106325,0.038601431318151205,0.007998366621000575,0.032589239578735454,0.011628257556816297,0.043462352298955426,0.013806268340535745,0.04800222173923182,0.00942943052321179
0.15700000000000003,0.01679500871386228,0.006871534744925692,0.025972567985669638,0.009027418822605349,0.046401980466913406,0.008185020528684056,0.036918418945540446,0.012079654546307581,0.045275791859905615,0.013330182411509277,0.0531340299573564,0.00799706885974693
0.20600000000000002,0.05366326335619526,0.006196717258221261,0.05306129171770557,0.007880366777202072,0.0699666618986243,0.008023955730047654,0.05444833470139222,0.01191432077605805,0.06207080057376788,0.01332225587126647,0.07187290542050831,0.006739594438714435
0.255,0.16366605564470452,0.005702588982477517,0.14916606380258415,0.00718258271585841,0.15556702889185783,0.008415154229158778,0.12891222638256655,0.009634420567292449,0.14229104604799986,0.010889536791465109,0.14580756370284378,0.005774669379783118
0.30400000000000005,0.2345281503555822,0.004350477612961848,0.22954432683191967,0.004145854400172901,0.23421713167569588,0.00506746124992804,0.22226548643651522,0.00516366548078993,0.23332169886344242,0.006245382265245206,0.228237546733365,0.0035962648671454918
0.35300000000000004,0.24524324552069862,0.002978664070725563,0.2447717010705484,0.002672064603404949,0.24591043075335803,0.0038327707503264734,0.24016912625126263,0.00324180779032571,0.24741034341926152,0.004366054099404338,0.24518304835684962,0.002020761721545088
0.402,0.23667769074802245,0.0020251020723729674,0.23609829304597613,0.0022646863444238893,0.23714171055269156,0.0024647044903688656,0.23422716453633735,0.0027153307600743183,0.24187722077547713,0.0035229722636052597,0.23923356199644324,0.0019844404889702246
0.451,0.2227796705443918,0.002249434143611747,0.22117190462659225,0.0021485742051523386,0.22228053572747744,0.0021264323579868937,0.219559122278472,0.002645797749650742,0.22711135812635716,0.0033044229298594056,0.2250320477584074,0.0021819793921284704
0.5,0.2097745749378542,0.002202125064390653,0.20770529743054586,0.0022906033776308493,0.209390818018317,0.002225573671226983,0.20691270143986779,0.002827443210091186,0.21404857357113097,0.0033707247411367477,0.21180873743291723,0.002201727783416554
