widths,200 comparisons,400 comparisons,800 comparisons,1600 comparisons,3200 comparisons,6400 comparisons
0.0009765625,0.14643533145627302,0.21527803643574087,0.29974053642341203,0.40102742845608524,0.5425105105105105,0.6612372372372373
0.001953125,0.11951392048307087,0.22825647385497735,0.2994379295321962,0.4002450455364288,0.5427227227227227,0.6612332332332332
0.00390625,0.14589646932343855,0.23014033809959172,0.3025536971537689,0.3994594567590411,0.5424824824824825,0.6612452452452453
0.0078125,0.1540732127851667,0.2257040136340463,0.3014234519813673,0.3996836821055171,0.5425385385385385,0.6612332332332332
0.015625,0.12164201134343407,0.22633160777993944,0.300649957124861,0.4007095109307549,0.5426411838252807,0.6612412412412413
0.03125,0.13265480781537223,0.22490895735505984,0.303484340128456,0.40153113726502954,0.5424489914407036,0.6612492492492492
0.0625,0.13736652259785206,0.2205808898643377,0.30116428412051316,0.40031551646481744,0.5425385385385385,0.6612372372372373
0.125,0.10793619061632084,0.23546182856824446,0.30392187288293787,0.4003307310619934,0.5424384384384384,0.6612572572572573
0.25,0.12236349558549835,0.2322456259407155,0.30365020499226253,0.40064144272641394,0.5424264264264265,0.6612452452452453
0.5,0.20364764764764764,0.27185585585585587,0.3144224224224224,0.40316716716716716,0.5432072072072072,0.6616056056056056
1.0,0.2511031031031031,0.3356276276276276,0.38537737737737743,0.48087687687687686,0.6154714714714715,0.714918918918919
2.0,0.037645645645645646,0.05936336336336336,0.07266066066066067,0.10122522522522523,0.14201001001001,0.19439039039039038
4.0,0.03289289289289289,0.05720520520520521,0.07514714714714715,0.10886886886886887,0.16318318318318317,0.23129529529529527
